league_id,play_off_mode,round,max_round,num_wild_cards,best_of0,best_of1,best_of2,best_of3,best_of4,best_of5,best_of6,best_of7,best_of8,best_of9,best_of10,best_of11,best_of12,best_of13,best_of14,best_of15,best_of16,best_of17,best_of18,best_of19,best_of20,best_of21,best_of22,best_of23,best_of24,best_of25,best_of26,best_of27,best_of28,best_of29,best_of30,best_of31,best_of32,best_of33,best_of34,best_of35,best_of36,best_of37,best_of38,best_of39,best_of40,best_of41,best_of42,best_of43,best_of44,best_of45,best_of46,best_of47,best_of48,best_of49,round_names0,round_names1,round_names2,round_names3,round_names4,round_names5,round_names6,round_names7,round_names8,round_names9,round_names10,round_names11,round_names12,round_names13,round_names14,round_names15,round_names16,round_names17,round_names18,round_names19,round_names20,round_names21,round_names22,round_names23,round_names24,round_names25,round_names26,round_names27,round_names28,round_names29,round_names30,round_names31,round_names32,round_names33,round_names34,round_names35,round_names36,round_names37,round_names38,round_names39,round_names40,round_names41,round_names42,round_names43,round_names44,round_names45,round_names46,round_names47,round_names48,round_names49,split_season,allstar_winner_homefield,allstar_winner,winner
150,1,0,4,2,1,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Wild Card Game","Division Series","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
151,1,0,2,1,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
152,0,0,2,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
153,0,0,1,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
154,0,0,2,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
155,0,0,2,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
156,0,0,2,0,7,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
157,0,0,2,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
158,0,0,2,0,7,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
159,0,0,2,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
160,0,0,2,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
161,1,0,2,1,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
162,0,0,1,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
163,0,0,1,0,5,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
164,1,0,2,1,3,5,7,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","League Championship Series","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
165,1,0,3,4,3,3,5,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","Round 3","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,0,0,0
166,0,0,2,0,3,5,5,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","Round 3","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',1,0,0,0
177,1,0,3,2,3,3,5,7,'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',"Round 1","Round 2","Round 3","World Series",'','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',0,1,0,0
